Product_id,Review_rating,clean_review,Sentiment
11, 1.0 out of 5 stars, disappointed,Positive
11, 3.0 out of 5 stars, below average product,Negative
11, 1.0 out of 5 stars, pathetic product  never buy,Positive
11, 1.0 out of 5 stars, product shown in the website is totally different than what i received,Negative
11, 1.0 out of 5 stars, dont buy,Positive
11, 2.0 out of 5 stars, poor quality,Negative
11, 2.0 out of 5 stars, worst packaging size doesnt fits well,Negative
12,3.0 out of 5 stars,average quality you can buy if you want to try white shoes in budget,Positive
12, 4.0 out of 5 stars, product is not very good but good,Negative
12, 5.0 out of 5 stars, very comfortable,Negative
12, 5.0 out of 5 stars, superb product,Positive
12, 4.0 out of 5 stars, nice product,Negative
12, 5.0 out of 5 stars, best at this price,Negative
12, 4.0 out of 5 stars, niceee,Negative
13,1.0 out of 5 stars,please dont buy,Positive
13, 5.0 out of 5 stars, this shoes are very light weighted,Negative
14,5.0 out of 5 stars, no hai bhai  love it,Positive
14, 5.0 out of 5 stars, really awesome,Negative
14, 5.0 out of 5 stars, excellent sneakers,Negative
14, 5.0 out of 5 stars, chep and best,Negative
14, 5.0 out of 5 stars, kraasa is the best as per quality fit  comfort,Positive
14, 1.0 out of 5 stars, not worth the price,Positive
14, 1.0 out of 5 stars, dont buy pathetic,Negative
14, 3.0 out of 5 stars, a complete review of the shoe after its use,Positive
14, 3.0 out of 5 stars, gud for price,Negative
14, 4.0 out of 5 stars, satisfying at this price,Positive
15,2.0 out of 5 stars,nice shose but defctive material send me,Negative
15, 1.0 out of 5 stars, bad quality,Positive
15, 5.0 out of 5 stars, awesome shoes,Positive
15, 2.0 out of 5 stars, i dont like thik,Positive
15, 1.0 out of 5 stars, very very disastrous quality,Positive
15, 5.0 out of 5 stars, nice shoes,Positive
15, 2.0 out of 5 stars, hard top,Positive
15, 1.0 out of 5 stars, bad quantity,Negative
15, 1.0 out of 5 stars, very bad quality product dont buy,Negative
15, 5.0 out of 5 stars, junaid khan,Positive
16,1.0 out of 5 stars,poor build quality avoid it,Negative
16, 5.0 out of 5 stars, my views,Negative
16, 4.0 out of 5 stars, use and throw product,Positive
16, 5.0 out of 5 stars, value for money,Negative
16, 5.0 out of 5 stars, budget loafer for mens,Positive
16, 5.0 out of 5 stars, awesome product ,Positive
16, 4.0 out of 5 stars, kinda ok for specific purpose,Negative
16, 5.0 out of 5 stars, good product,Negative
16, 5.0 out of 5 stars, paisa vasul product,Positive
16, 4.0 out of 5 stars, elegance with economy,Positive
17,1.0 out of 5 stars,qualityis bad,Negative
17, 5.0 out of 5 stars, best according to price,Negative
17, 4.0 out of 5 stars, best for this price,Positive
17, 1.0 out of 5 stars, wrost product and so high price,Negative
17, 3.0 out of 5 stars, pasting not good,Negative
17, 4.0 out of 5 stars, price wise its good,Positive
17, 5.0 out of 5 stars, before buying just read the comments,Negative
17, 5.0 out of 5 stars, attractive,Negative
17, 3.0 out of 5 stars, must buy value for money,Positive
17, 3.0 out of 5 stars, review,Positive
18,1.0 out of 5 stars,quality is not good  and size is not ok delivered,Negative
18, 5.0 out of 5 stars, on time delivered,Positive
18, 5.0 out of 5 stars, worthy product,Positive
18, 4.0 out of 5 stars, this quality is very good ,Positive
18, 4.0 out of 5 stars, shoes,Positive
18, 1.0 out of 5 stars, poor quality,Positive
18, 1.0 out of 5 stars, bad products,Positive
18, 1.0 out of 5 stars, very waste,Negative
18, 3.0 out of 5 stars, quality,Negative
19,5.0 out of 5 stars,its good product in budget,Negative
19, 4.0 out of 5 stars, nice quality ,Positive
19, 4.0 out of 5 stars, good,Positive
19, 5.0 out of 5 stars, too good,Positive
20,3.0 out of 5 stars,looking good but product is not so good,Positive
20, 2.0 out of 5 stars, wrost product ,Negative
20, 5.0 out of 5 stars, excellent,Negative
20, 5.0 out of 5 stars, recommended,Negative
20, 4.0 out of 5 stars, its nice,Negative
20, 5.0 out of 5 stars, nice  product,Positive
20, 4.0 out of 5 stars, nice colours,Negative
20, 1.0 out of 5 stars, extra low quality shoes,Negative
20, 5.0 out of 5 stars, good product value of money,Negative
20, 5.0 out of 5 stars, worth it,Negative
21,5.0 out of 5 stars,buy one size less than your normal size,Positive
21, 5.0 out of 5 stars, paisa wasool ,Positive
21, 5.0 out of 5 stars, superb,Negative
21, 1.0 out of 5 stars, too much offence to bought this product,Negative
21, 4.0 out of 5 stars, perfect fit and good matetial,Negative
21, 1.0 out of 5 stars, foot wear not worth,Negative
21, 5.0 out of 5 stars, bata rainy shies,Positive
21, 4.0 out of 5 stars, go for it,Negative
21, 3.0 out of 5 stars, buy one size small,Negative
21, 4.0 out of 5 stars, very comfortable,Negative
22,3.0 out of 5 stars,low cost but not upto my expectations,Positive
22, 5.0 out of 5 stars, best product for its price and quality,Positive
22, 5.0 out of 5 stars, excellent value for money,Positive
22, 5.0 out of 5 stars, classy flip flops in cheap rate,Negative
22, 5.0 out of 5 stars, cheap decent slippers,Negative
22, 1.0 out of 5 stars,  star received damaged pair  stars for the product,Positive
22, 2.0 out of 5 stars, very bad product after being amazons choice,Negative
22, 4.0 out of 5 stars, regular user home,Positive
22, 4.0 out of 5 stars, extra lasting  long lasting but not everlasting,Negative
22, 5.0 out of 5 stars, good for rough and tough use,Negative
23,2.0 out of 5 stars,this is copy not original aqualite,Negative
23, 4.0 out of 5 stars, comfort  light weight,Positive
23, 4.0 out of 5 stars, does the job,Positive
23, 5.0 out of 5 stars, very nice product,Negative
23, 3.0 out of 5 stars, ok bad ok,Negative
23, 3.0 out of 5 stars, haa thek hi h ok ok,Positive
23, 2.0 out of 5 stars, unequal sole thickness of the sandal,Negative
23, 1.0 out of 5 stars, pathetic,Positive
23, 4.0 out of 5 stars, good product,Negative
23, 5.0 out of 5 stars, value for money,Negative
24,5.0 out of 5 stars,i like it,Negative
24, 5.0 out of 5 stars, for regular use and economic,Negative
24, 5.0 out of 5 stars, good,Positive
24, 5.0 out of 5 stars, comfortable,Negative
24, 1.0 out of 5 stars, rate,Negative
24, 1.0 out of 5 stars, its not long lasting,Positive
25,1.0 out of 5 stars,cheap price cheap quality didnt last  days,Positive
25, 5.0 out of 5 stars, elegant and lightweight,Positive
25, 4.0 out of 5 stars, service is good so far,Negative
25, 4.0 out of 5 stars, fit,Positive
26,5.0 out of 5 stars,value for money,Negative
27,1.0 out of 5 stars,user review,Positive
27, 5.0 out of 5 stars, totally worthy product  i loved it,Positive
28,1.0 out of 5 stars,not satisfied,Positive
28, 1.0 out of 5 stars, not worth the money,Negative
28, 2.0 out of 5 stars,    ,Negative
28, 2.0 out of 5 stars, okay but hard sole,Negative
28, 1.0 out of 5 stars, pathetic shoe uncomfortable,Negative
28, 1.0 out of 5 stars, uncomfortable cheap  forgettable,Negative
28, 1.0 out of 5 stars, dont buy,Negative
28, 2.0 out of 5 stars, its not comfortable,Positive
28, 2.0 out of 5 stars, third class product dont buy waste of money,Positive
28, 4.0 out of 5 stars, nice product,Negative
29,5.0 out of 5 stars,centrino is a brand you can trust,Positive
29, 3.0 out of 5 stars, im not disappointed,Positive
29, 3.0 out of 5 stars, ok ok,Negative
29, 1.0 out of 5 stars, very poor quality dont buy,Negative
29, 1.0 out of 5 stars, replacement policy,Negative
29, 5.0 out of 5 stars, very nice pair of shoe,Positive
29, 4.0 out of 5 stars, centrino mens formal shoes,Negative
29, 5.0 out of 5 stars, great product at a budget price,Negative
29, 3.0 out of 5 stars, good looking shoes size is awkwardly long,Negative
29, 5.0 out of 5 stars, great one,Positive
30,5.0 out of 5 stars,great style shoes  must buy ,Negative
30, 5.0 out of 5 stars, best at ,Positive
30, 4.0 out of 5 stars, good one,Negative
30, 5.0 out of 5 stars, undoubtedly one of the best from sparx,Positive
30, 4.0 out of 5 stars, such a beauty,Negative
30, 5.0 out of 5 stars, quality product,Negative
30, 4.0 out of 5 stars, nice sneaker,Negative
30, 1.0 out of 5 stars, not satisfied,Negative
30, 5.0 out of 5 stars, thank you amazon,Positive
30, 5.0 out of 5 stars, best in this price,Positive
31,5.0 out of 5 stars,happy with the product,Positive
31, 5.0 out of 5 stars, mind blowing,Positive
31, 4.0 out of 5 stars, good,Positive
31, 5.0 out of 5 stars, must buy,Positive
31, 4.0 out of 5 stars, durable,Positive
31, 2.0 out of 5 stars, product r not original air,Positive
31, 3.0 out of 5 stars, shoes reviews,Positive
31, 3.0 out of 5 stars, value for money,Positive
31, 4.0 out of 5 stars, light and strong,Positive
31, 2.0 out of 5 stars, good,Positive
32,5.0 out of 5 stars,comfy ,Positive
33,1.0 out of 5 stars,very bad,Positive
33, 5.0 out of 5 stars, gd,Negative
33, 5.0 out of 5 stars, good shoes,Negative
33, 2.0 out of 5 stars, quality not as expected,Negative
33, 5.0 out of 5 stars, good product,Negative
33, 4.0 out of 5 stars, nice product,Positive
33, 2.0 out of 5 stars, quality not as expected,Negative
33, 3.0 out of 5 stars, okay but not value for money ,Negative
33, 4.0 out of 5 stars, this is,Positive
33, 1.0 out of 5 stars, bad quality,Positive
34,3.0 out of 5 stars,average,Positive
34, 5.0 out of 5 stars, nice shoes good build quality,Negative
35,1.0 out of 5 stars,waste of money,Positive
35, 4.0 out of 5 stars, product is so so,Negative
35, 5.0 out of 5 stars, comfortable and adorable,Positive
35, 1.0 out of 5 stars, wrost quility,Negative
35, 3.0 out of 5 stars, average as per price finishing not good,Positive
35, 3.0 out of 5 stars, kraasa shoes for rough use,Negative
35, 5.0 out of 5 stars, superb,Positive
35, 4.0 out of 5 stars, it could have been betteroverall good,Negative
35, 2.0 out of 5 stars, bad quality sole,Negative
35, 1.0 out of 5 stars, sole quality  very bad  damaged in  months,Negative
36,1.0 out of 5 stars,hardly  month lasts poor performance,Negative
36, 4.0 out of 5 stars, awesome product,Negative
36, 5.0 out of 5 stars, very good product as a price and size to fit or mattel quality also good,Positive
36, 3.0 out of 5 stars, can buy this item as per price,Negative
36, 5.0 out of 5 stars, awesome,Positive
36, 4.0 out of 5 stars, low price and good quality,Positive
36, 5.0 out of 5 stars, suppar,Positive
36, 3.0 out of 5 stars, good,Negative
36, 4.0 out of 5 stars, okh product,Negative
36, 5.0 out of 5 stars, honest review ,Negative
37,4.0 out of 5 stars,shoe quality,Positive
38,4.0 out of 5 stars,avg looking avg quality,Negative
38, 5.0 out of 5 stars, excellent,Negative
38, 4.0 out of 5 stars, quality product,Positive
38, 3.0 out of 5 stars, nice products,Negative
38, 1.0 out of 5 stars, quality of product is very bad if it possible i want to return it and return my money back,Positive
38, 4.0 out of 5 stars, true reviews of these shows  should you buy it or not ,Negative
38, 3.0 out of 5 stars, good shoes with comfort support,Negative
38, 5.0 out of 5 stars, great product,Negative
38, 1.0 out of 5 stars, box is open,Positive
38, 5.0 out of 5 stars, good product  stylelure mens black formal shoes,Negative
39,4.0 out of 5 stars,good,Negative
39, 5.0 out of 5 stars, worth my money,Positive
39, 3.0 out of 5 stars, disappointed,Negative
39, 1.0 out of 5 stars, one star,Positive
39, 4.0 out of 5 stars, good product,Negative
39, 1.0 out of 5 stars, very low quality,Negative
39, 2.0 out of 5 stars, bad,Positive
39, 1.0 out of 5 stars, too bad is the souel,Positive
39, 1.0 out of 5 stars, wrong information provided by the seller,Positive
39, 5.0 out of 5 stars, very comfy,Negative
40,5.0 out of 5 stars,way more better than so called brand definately go for it,Negative
40, 1.0 out of 5 stars, worst ever product,Negative
40, 1.0 out of 5 stars, if you go for cheap then you will end with  money lost,Negative
40, 5.0 out of 5 stars, shoes are really good and comfortable,Negative
40, 4.0 out of 5 stars, softness,Positive
40, 5.0 out of 5 stars, even in brands like nike puma,Negative
40, 1.0 out of 5 stars, quality is bad,Positive
40, 3.0 out of 5 stars, very average product may be just okok at the price,Positive
40, 5.0 out of 5 stars, quality as per price,Negative
40, 5.0 out of 5 stars, comfortable and light weight shoes,Positive
41,4.0 out of 5 stars,worth the money order one size up,Positive
41, 3.0 out of 5 stars, good,Negative
42,1.0 out of 5 stars,not at worth to buy,Positive
42, 1.0 out of 5 stars, not as expected,Positive
42, 1.0 out of 5 stars, cheap quality,Positive
42, 1.0 out of 5 stars, worse,Negative
42, 4.0 out of 5 stars, wroth,Negative
42, 1.0 out of 5 stars, left foot  size didnt matched with the right foot,Negative
42, 4.0 out of 5 stars, good product,Positive
42, 4.0 out of 5 stars, review of the product,Positive
42, 5.0 out of 5 stars, simple safe,Negative
42, 3.0 out of 5 stars, completely different colour and size,Negative
43,2.0 out of 5 stars,quality of the product is very low,Negative
43, 1.0 out of 5 stars, vest of money,Negative
43, 1.0 out of 5 stars, unsatisfied,Negative
43, 1.0 out of 5 stars, wastes of time and money so please improve your quality,Negative
43, 1.0 out of 5 stars, there is spot,Negative
43, 1.0 out of 5 stars, shoes is not fit,Negative
43, 1.0 out of 5 stars, bad product,Negative
43, 1.0 out of 5 stars, it is very bad,Negative
43, 1.0 out of 5 stars, plz give the better quality i want chang this shose,Positive
43, 1.0 out of 5 stars, change the size,Negative
44,4.0 out of 5 stars,size issue and tight when used with socks,Positive
44, 5.0 out of 5 stars, amazing for its price,Positive
44, 4.0 out of 5 stars, good go for it,Positive
44, 1.0 out of 5 stars, not even ,Positive
44, 5.0 out of 5 stars, great comfortable office shoe,Negative
44, 4.0 out of 5 stars, fraud seller,Negative
44, 5.0 out of 5 stars, good rubber shoes to use in rain,Negative
44, 5.0 out of 5 stars, excellent at this price range,Positive
44, 4.0 out of 5 stars, excellent product,Positive
44, 5.0 out of 5 stars, wonderful and excellent shoes ,Negative
45,4.0 out of 5 stars,good for smooth users and not gud for rough users,Negative
45, 5.0 out of 5 stars, outstanding products,Negative
45, 4.0 out of 5 stars, nice shoes,Positive
45, 5.0 out of 5 stars, ,Negative
45, 4.0 out of 5 stars, value for money,Positive
45, 4.0 out of 5 stars, nice,Negative
45, 2.0 out of 5 stars, not good,Negative
45, 2.0 out of 5 stars, sole,Negative
45, 1.0 out of 5 stars, waste product,Positive
45, 2.0 out of 5 stars, do not buy weastage of money,Negative
46,5.0 out of 5 stars,beautiful shoes ,Positive
46, 4.0 out of 5 stars, very good product but logo has comeout within  months,Negative
46, 4.0 out of 5 stars, worth for the money spent,Negative
46, 5.0 out of 5 stars, best quality as expected from bata,Negative
46, 5.0 out of 5 stars, shoe for walkers,Negative
46, 5.0 out of 5 stars, fit,Negative
46, 3.0 out of 5 stars, size is good,Positive
46, 1.0 out of 5 stars, cushion is very very poor uncomfortable,Positive
46, 1.0 out of 5 stars, price,Positive
46, 1.0 out of 5 stars, very much disappointed ,Positive
47,5.0 out of 5 stars,very good product,Positive
47, 5.0 out of 5 stars, good,Positive
47, 5.0 out of 5 stars, value for money,Negative
47, 3.0 out of 5 stars, okay product with a fundamental flaw ,Negative
47, 3.0 out of 5 stars, economical shoes for walking gym not running or jumpingrecommended,Negative
47, 1.0 out of 5 stars, dont trust the size of what they write on their page,Negative
47, 2.0 out of 5 stars, not worth for money,Positive
47, 3.0 out of 5 stars, okay product but runs small for size,Negative
47, 1.0 out of 5 stars, for improvement in size and quality,Negative
47, 4.0 out of 5 stars, its good,Negative
48,3.0 out of 5 stars,got a different brand,Negative
48, 1.0 out of 5 stars, pls give me my order,Negative
48, 5.0 out of 5 stars, value for money ,Positive
48, 5.0 out of 5 stars, amazon should change name of product from sparx to relaxo,Positive
48, 5.0 out of 5 stars, go for it,Negative
48, 5.0 out of 5 stars, wear them without caring about world but your feet,Negative
48, 4.0 out of 5 stars, great and compatible shoes must buy,Positive
48, 5.0 out of 5 stars, nice ,Positive
48, 1.0 out of 5 stars, different brand delivered but value for money,Negative
48, 5.0 out of 5 stars, good product thanks amazon ,Negative
49,4.0 out of 5 stars,go for it,Negative
49, 3.0 out of 5 stars, awesome,Negative
49, 4.0 out of 5 stars, washable shoes at reasonable price,Positive
49, 4.0 out of 5 stars, fine product  a reasonable rate,Positive
49, 4.0 out of 5 stars, good looking shoe at low price,Positive
49, 2.0 out of 5 stars, very thin sole,Positive
49, 4.0 out of 5 stars, smart  economical,Negative
49, 5.0 out of 5 stars, beautiful looks very durable attractive price,Positive
49, 1.0 out of 5 stars, the sole is too thin,Negative
49, 5.0 out of 5 stars, awesome product,Negative
50,3.0 out of 5 stars,not very comfortable the bottom is hard,Positive
50, 4.0 out of 5 stars, dipesh katara,Negative
51,5.0 out of 5 stars,nice product,Positive
51, 1.0 out of 5 stars, dont order at all,Positive
51, 1.0 out of 5 stars, not good,Negative
51, 4.0 out of 5 stars, good,Negative
52,2.0 out of 5 stars,,Positive
52, 1.0 out of 5 stars, different model they have sent,Positive
52, 5.0 out of 5 stars, size,Positive
52, 4.0 out of 5 stars, very good product and design,Positive
52, 4.0 out of 5 stars, satisfied,Negative
52, 5.0 out of 5 stars, perfect perfect perfect,Positive
52, 4.0 out of 5 stars, nice product,Positive
52, 1.0 out of 5 stars, worst product,Negative
52, 2.0 out of 5 stars, good,Negative
52, 5.0 out of 5 stars, very good,Positive
53,1.0 out of 5 stars,problem,Positive
53, 3.0 out of 5 stars, insole pads are just the worst neither size or shape,Positive
53, 1.0 out of 5 stars, not bad,Positive
53, 1.0 out of 5 stars, please exchange shoe required no,Positive
53, 1.0 out of 5 stars, poor quality and different shoes deliverd,Positive
53, 2.0 out of 5 stars, dont buy,Positive
53, 4.0 out of 5 stars, nice product but in cheap price,Positive
53, 3.0 out of 5 stars, first shoes is same but second shoes is different type but better ,Negative
53, 5.0 out of 5 stars, nice,Negative
53, 4.0 out of 5 stars, its good,Negative
54,1.0 out of 5 stars,a genuine review not worth buying,Negative
54, 5.0 out of 5 stars, light weight comfortable and stylish,Negative
54, 5.0 out of 5 stars, quality assured product,Negative
54, 1.0 out of 5 stars, horrible  day shoe,Negative
54, 4.0 out of 5 stars, wow product ,Negative
54, 5.0 out of 5 stars, awesome product,Positive
54, 4.0 out of 5 stars, bang on bucks,Negative
54, 4.0 out of 5 stars, comfy light weight nice pair of shoes,Negative
54, 5.0 out of 5 stars, value for money,Negative
54, 1.0 out of 5 stars, everything is wrong,Negative
55,1.0 out of 5 stars,poor quality,Positive
56,5.0 out of 5 stars,awesome purchase,Positive
56, 4.0 out of 5 stars, good in looks but little hard from inside,Positive
56, 4.0 out of 5 stars, good product,Negative
56, 5.0 out of 5 stars, supper,Positive
56, 5.0 out of 5 stars, good,Positive
57,1.0 out of 5 stars,do not buy,Negative
57, 5.0 out of 5 stars, excellent pair of sleepers received from the supplier,Positive
57, 5.0 out of 5 stars, cheap and best,Positive
57, 5.0 out of 5 stars, top quality best price far better than other brand,Positive
57, 5.0 out of 5 stars, quality and durability,Negative
57, 5.0 out of 5 stars, great chappals,Negative
57, 2.0 out of 5 stars, relaxo mens house slipper,Positive
57, 3.0 out of 5 stars, value for the money but pain in the foot,Negative
57, 3.0 out of 5 stars, accupressure anyone,Negative
57, 1.0 out of 5 stars, received a bag instead of slippers,Negative
58,1.0 out of 5 stars,cheap quality,Positive
58, 4.0 out of 5 stars, good very nyc,Positive
58, 4.0 out of 5 stars, order extra size,Positive
58, 1.0 out of 5 stars, worst quality of shoes,Positive
58, 1.0 out of 5 stars, bad and not upto mark,Negative
58, 1.0 out of 5 stars, money waste product hai,Negative
58, 5.0 out of 5 stars, nice one,Negative
58, 1.0 out of 5 stars, dont buy this product local quality,Positive
58, 1.0 out of 5 stars, change,Negative
58, 1.0 out of 5 stars, quality,Positive
59,5.0 out of 5 stars,worth,Positive
59, 4.0 out of 5 stars, very good item,Negative
59, 5.0 out of 5 stars, very very good product,Positive
60,5.0 out of 5 stars,best for casual wear,Negative
60, 4.0 out of 5 stars, value for money,Positive
60, 5.0 out of 5 stars, size uk,Positive
60, 5.0 out of 5 stars, good product  go for it,Positive
60, 1.0 out of 5 stars, product is too bad totaly wastage of money,Positive
60, 3.0 out of 5 stars, this boot is very nice,Positive
60, 2.0 out of 5 stars, not good,Negative
60, 1.0 out of 5 stars, sorry,Negative
60, 1.0 out of 5 stars, please dont by,Positive
60, 2.0 out of 5 stars, nothing,Positive
61,5.0 out of 5 stars,totally worthy product i loved it,Negative
61, 5.0 out of 5 stars, very comfortable to use,Negative
61, 5.0 out of 5 stars, go for it,Positive
61, 5.0 out of 5 stars, best for me,Negative
61, 5.0 out of 5 stars, delightful,Negative
61, 5.0 out of 5 stars, nice fit,Negative
61, 1.0 out of 5 stars, poor quality,Negative
61, 5.0 out of 5 stars, amazing shoes,Positive
61, 5.0 out of 5 stars, amazing experience,Negative
61, 5.0 out of 5 stars, comfortable shoes,Negative
62,3.0 out of 5 stars,quality not as good as in pictures,Negative
62, 1.0 out of 5 stars, dont buy,Negative
62, 5.0 out of 5 stars, rd time replacement without box packing but condition is good,Negative
62, 5.0 out of 5 stars, really good for a rainy day,Negative
62, 4.0 out of 5 stars, worth to buy it,Negative
62, 4.0 out of 5 stars, ok ok,Negative
62, 1.0 out of 5 stars, overall good,Negative
62, 4.0 out of 5 stars, worth buying,Negative
62, 5.0 out of 5 stars, best quality with best price,Positive
62, 5.0 out of 5 stars, sorry,Positive
63,4.0 out of 5 stars,amazing,Positive
63, 1.0 out of 5 stars, low product,Negative
63, 1.0 out of 5 stars, service is not good,Negative
63, 5.0 out of 5 stars, look very awesome shoes fit as expected,Negative
63, 2.0 out of 5 stars, not comfortable,Negative
63, 3.0 out of 5 stars, shoes display is different from which i got,Negative
63, 2.0 out of 5 stars, mostly of you can afford more than the price of this shoe go for others,Negative
63, 1.0 out of 5 stars, waste of money,Negative
63, 5.0 out of 5 stars, good,Positive
63, 5.0 out of 5 stars, good and colour is as per the pic,Negative
64,4.0 out of 5 stars,expensive,Negative
64, 1.0 out of 5 stars, dreadful experience,Negative
64, 5.0 out of 5 stars, unbelievably great,Positive
64, 5.0 out of 5 stars, as expected good quality and petent is shinning,Negative
64, 2.0 out of 5 stars, not good as expected ,Positive
64, 5.0 out of 5 stars, good looking,Negative
64, 4.0 out of 5 stars, good,Negative
64, 4.0 out of 5 stars, good as expected,Negative
64, 5.0 out of 5 stars, perfect for party wear,Negative
64, 5.0 out of 5 stars, star,Positive
65,1.0 out of 5 stars,left leg shoes is perfect but the another one is small,Negative
65, 4.0 out of 5 stars, stylish look good material in rs,Positive
65, 5.0 out of 5 stars, nice to fit,Positive
66,1.0 out of 5 stars,defective item,Negative
66, 4.0 out of 5 stars, the product is a must for people with cast,Positive
66, 1.0 out of 5 stars,  known brand in this filed but i had a bad experience by buying from amazon,Positive
66, 4.0 out of 5 stars, good to go,Negative
66, 5.0 out of 5 stars, great product if you have cast for long time   days or greater ,Positive
66, 1.0 out of 5 stars, refund still not processed,Negative
66, 1.0 out of 5 stars, flexible your exchage policy atleast for this product,Positive
66, 5.0 out of 5 stars, great support for your injured leg in cast,Positive
66, 5.0 out of 5 stars, ok,Negative
66, 4.0 out of 5 stars, worth buying,Positive
67,1.0 out of 5 stars,defective product in second time as well,Positive
67, 5.0 out of 5 stars, good,Negative
68,5.0 out of 5 stars,very comfortable stylish and light shoes at an affordable price,Positive
68, 2.0 out of 5 stars, not now,Positive
68, 5.0 out of 5 stars, recommended,Positive
68, 5.0 out of 5 stars, very good product,Positive
