Product_id,Review_rating,clean_review,Emotion,Sentiment_Score
7, 4.0 out of 5 stars, got one,5 stars,0.692066490650177
7, 2.0 out of 5 stars, poor quality,1 star,0.8295193314552307
7, 5.0 out of 5 stars, a good product for this price,5 stars,0.6225242018699646
7, 4.0 out of 5 stars, good quality but the seller have to improve their serviceas i got wrong shoe number,4 stars,0.5093004107475281
7, 3.0 out of 5 stars, the soul of the shoes is not what it looks like in the photo,2 stars,0.3687330186367035
7, 1.0 out of 5 stars, product not as described and vpoor quality,2 stars,0.3203253448009491
8,1.0 out of 5 stars,think twice before ordering amazon,5 stars,0.4000115990638733
8, 1.0 out of 5 stars, very poor product dont buy it,1 star,0.9279835224151611
8, 5.0 out of 5 stars, thank you knoos and amazon,5 stars,0.8095486760139465
8, 1.0 out of 5 stars, not at all a good product,1 star,0.6754641532897949
8, 5.0 out of 5 stars, ossm products buy it without thinking,5 stars,0.7448607683181763
8, 5.0 out of 5 stars, nice shoesfits as expectedvalue for money,5 stars,0.7048564553260803
8, 1.0 out of 5 stars, worst worst worst,1 star,0.9516693949699402
8, 3.0 out of 5 stars, can get better stuff for this price,5 stars,0.5815698504447937
8, 1.0 out of 5 stars, poor quality,1 star,0.8295193314552307
8, 1.0 out of 5 stars, buy only if you like low quality shoes,1 star,0.35049134492874146
9,5.0 out of 5 stars,material is good and comfortable nice product,5 stars,0.6784981489181519
9, 5.0 out of 5 stars, comffotable fit,5 stars,0.6544216275215149
9, 5.0 out of 5 stars, superb quality,5 stars,0.9462223052978516
9, 4.0 out of 5 stars, worth for money,5 stars,0.7170295119285583
9, 5.0 out of 5 stars, quality,5 stars,0.8053585290908813
9, 5.0 out of 5 stars, very comfort,5 stars,0.7766485214233398
9, 5.0 out of 5 stars, yah product mujhe bahut achcha,5 stars,0.5552093386650085
9, 4.0 out of 5 stars, good,5 stars,0.5337613821029663
9, 5.0 out of 5 stars, best in bata at this range,5 stars,0.9046719074249268
9, 4.0 out of 5 stars, nice,5 stars,0.6637264490127563
10,5.0 out of 5 stars,its nice and very comfortable,5 stars,0.8123899102210999
10, 1.0 out of 5 stars, how can you cheat with customer you erase size number back side of shoes,5 stars,0.5311976671218872
11,5.0 out of 5 stars,great looking shoes i like it,5 stars,0.6948087811470032
11, 1.0 out of 5 stars, total fake,1 star,0.9056200385093689
11, 5.0 out of 5 stars, feedback,5 stars,0.5193237662315369
11, 1.0 out of 5 stars, disappointed,1 star,0.53127521276474
11, 3.0 out of 5 stars, below average product,3 stars,0.3376544117927551
11, 1.0 out of 5 stars, pathetic product  never buy,1 star,0.9518576264381409
11, 1.0 out of 5 stars, product shown in the website is totally different than what i received,5 stars,0.6516684293746948
11, 1.0 out of 5 stars, dont buy,1 star,0.7622948884963989
11, 2.0 out of 5 stars, poor quality,1 star,0.8295193314552307
11, 2.0 out of 5 stars, worst packaging size doesnt fits well,1 star,0.7877503037452698
12,3.0 out of 5 stars,average quality you can buy if you want to try white shoes in budget,3 stars,0.8841761350631714
12, 4.0 out of 5 stars, product is not very good but good,4 stars,0.4065967798233032
12, 5.0 out of 5 stars, very comfortable,5 stars,0.8497061133384705
12, 5.0 out of 5 stars, superb product,5 stars,0.9420226216316223
12, 4.0 out of 5 stars, nice product,5 stars,0.6937230825424194
12, 5.0 out of 5 stars, best at this price,5 stars,0.8834919929504395
12, 4.0 out of 5 stars, niceee,5 stars,0.5672764182090759
13,1.0 out of 5 stars,please dont buy,1 star,0.8748334050178528
13, 5.0 out of 5 stars, this shoes are very light weighted,5 stars,0.7995344400405884
14,5.0 out of 5 stars, no hai bhai  love it,5 stars,0.8983096480369568
14, 5.0 out of 5 stars, really awesome,5 stars,0.9556648135185242
14, 5.0 out of 5 stars, excellent sneakers,5 stars,0.9394293427467346
14, 5.0 out of 5 stars, chep and best,5 stars,0.8388597965240479
14, 5.0 out of 5 stars, kraasa is the best as per quality fit  comfort,5 stars,0.9092000722885132
14, 1.0 out of 5 stars, not worth the price,1 star,0.47004061937332153
14, 1.0 out of 5 stars, dont buy pathetic,1 star,0.9059815406799316
14, 3.0 out of 5 stars, a complete review of the shoe after its use,5 stars,0.6539915204048157
14, 3.0 out of 5 stars, gud for price,5 stars,0.7097337245941162
14, 4.0 out of 5 stars, satisfying at this price,5 stars,0.7633998394012451
15,2.0 out of 5 stars,nice shose but defctive material send me,4 stars,0.36491402983665466
15, 1.0 out of 5 stars, bad quality,1 star,0.8210640549659729
15, 5.0 out of 5 stars, awesome shoes,5 stars,0.9255470633506775
15, 2.0 out of 5 stars, i dont like thik,1 star,0.3071361780166626
15, 1.0 out of 5 stars, very very disastrous quality,1 star,0.8809421062469482
15, 5.0 out of 5 stars, nice shoes,5 stars,0.6508151292800903
15, 2.0 out of 5 stars, hard top,5 stars,0.7298659086227417
15, 1.0 out of 5 stars, bad quantity,1 star,0.7996250987052917
15, 1.0 out of 5 stars, very bad quality product dont buy,1 star,0.9423437118530273
15, 5.0 out of 5 stars, junaid khan,5 stars,0.49413570761680603
16,1.0 out of 5 stars,poor build quality avoid it,1 star,0.7867838740348816
16, 5.0 out of 5 stars, my views,5 stars,0.6316512823104858
16, 4.0 out of 5 stars, use and throw product,5 stars,0.6403415203094482
16, 5.0 out of 5 stars, value for money,5 stars,0.6624334454536438
16, 5.0 out of 5 stars, budget loafer for mens,5 stars,0.4933282136917114
16, 5.0 out of 5 stars, awesome product ,5 stars,0.944373369216919
16, 4.0 out of 5 stars, kinda ok for specific purpose,3 stars,0.463018536567688
16, 5.0 out of 5 stars, good product,5 stars,0.6334669589996338
16, 5.0 out of 5 stars, paisa vasul product,5 stars,0.6489885449409485
16, 4.0 out of 5 stars, elegance with economy,5 stars,0.7859258651733398
17,1.0 out of 5 stars,qualityis bad,1 star,0.5915045738220215
17, 5.0 out of 5 stars, best according to price,5 stars,0.8093902468681335
17, 4.0 out of 5 stars, best for this price,5 stars,0.854353129863739
17, 1.0 out of 5 stars, wrost product and so high price,5 stars,0.9195031523704529
17, 3.0 out of 5 stars, pasting not good,1 star,0.6196825504302979
17, 4.0 out of 5 stars, price wise its good,5 stars,0.576683759689331
17, 5.0 out of 5 stars, before buying just read the comments,5 stars,0.32804423570632935
17, 5.0 out of 5 stars, attractive,5 stars,0.6875658631324768
17, 3.0 out of 5 stars, must buy value for money,5 stars,0.8816099762916565
17, 3.0 out of 5 stars, review,5 stars,0.4432905614376068
18,1.0 out of 5 stars,quality is not good  and size is not ok delivered,1 star,0.4529306888580322
18, 5.0 out of 5 stars, on time delivered,5 stars,0.6875579357147217
18, 5.0 out of 5 stars, worthy product,5 stars,0.8133143782615662
18, 4.0 out of 5 stars, this quality is very good ,5 stars,0.8726733326911926
18, 4.0 out of 5 stars, shoes,5 stars,0.6069034337997437
18, 1.0 out of 5 stars, poor quality,1 star,0.8295193314552307
18, 1.0 out of 5 stars, bad products,1 star,0.8393391966819763
18, 1.0 out of 5 stars, very waste,1 star,0.8714090585708618
18, 3.0 out of 5 stars, quality,5 stars,0.8053585290908813
19,5.0 out of 5 stars,its good product in budget,5 stars,0.46794068813323975
19, 4.0 out of 5 stars, nice quality ,5 stars,0.7327512502670288
19, 4.0 out of 5 stars, good,5 stars,0.5337613821029663
19, 5.0 out of 5 stars, too good,1 star,0.3494856059551239
20,3.0 out of 5 stars,looking good but product is not so good,3 stars,0.4203048050403595
20, 2.0 out of 5 stars, wrost product ,5 stars,0.6666805744171143
20, 5.0 out of 5 stars, excellent,5 stars,0.9499454498291016
20, 5.0 out of 5 stars, recommended,5 stars,0.7908487915992737
20, 4.0 out of 5 stars, its nice,5 stars,0.5010566711425781
20, 5.0 out of 5 stars, nice  product,5 stars,0.6937230825424194
20, 4.0 out of 5 stars, nice colours,5 stars,0.6082744002342224
20, 1.0 out of 5 stars, extra low quality shoes,5 stars,0.3466629981994629
20, 5.0 out of 5 stars, good product value of money,5 stars,0.6286556124687195
20, 5.0 out of 5 stars, worth it,5 stars,0.7655544877052307
21,5.0 out of 5 stars,buy one size less than your normal size,5 stars,0.6209978461265564
21, 5.0 out of 5 stars, paisa wasool ,5 stars,0.41685646772384644
21, 5.0 out of 5 stars, superb,5 stars,0.941521167755127
21, 1.0 out of 5 stars, too much offence to bought this product,1 star,0.821194589138031
21, 4.0 out of 5 stars, perfect fit and good matetial,5 stars,0.9468222856521606
21, 1.0 out of 5 stars, foot wear not worth,1 star,0.5447109341621399
21, 5.0 out of 5 stars, bata rainy shies,5 stars,0.4583894610404968
21, 4.0 out of 5 stars, go for it,5 stars,0.6479388475418091
21, 3.0 out of 5 stars, buy one size small,5 stars,0.4181247353553772
21, 4.0 out of 5 stars, very comfortable,5 stars,0.8497061133384705
22,3.0 out of 5 stars,low cost but not upto my expectations,3 stars,0.3713868260383606
22, 5.0 out of 5 stars, best product for its price and quality,5 stars,0.9409971237182617
22, 5.0 out of 5 stars, excellent value for money,5 stars,0.9130575060844421
22, 5.0 out of 5 stars, classy flip flops in cheap rate,5 stars,0.5811557173728943
22, 5.0 out of 5 stars, cheap decent slippers,3 stars,0.35314178466796875
22, 1.0 out of 5 stars,  star received damaged pair  stars for the product,1 star,0.5277358293533325
22, 2.0 out of 5 stars, very bad product after being amazons choice,1 star,0.8920843601226807
22, 4.0 out of 5 stars, regular user home,5 stars,0.46709147095680237
22, 4.0 out of 5 stars, extra lasting  long lasting but not everlasting,4 stars,0.47902658581733704
22, 5.0 out of 5 stars, good for rough and tough use,4 stars,0.4943942725658417
23,2.0 out of 5 stars,this is copy not original aqualite,1 star,0.6367360949516296
23, 4.0 out of 5 stars, comfort  light weight,5 stars,0.6282725930213928
23, 4.0 out of 5 stars, does the job,5 stars,0.618800699710846
23, 5.0 out of 5 stars, very nice product,5 stars,0.8771629929542542
23, 3.0 out of 5 stars, ok bad ok,4 stars,0.4590131342411041
23, 3.0 out of 5 stars, haa thek hi h ok ok,3 stars,0.423580527305603
23, 2.0 out of 5 stars, unequal sole thickness of the sandal,1 star,0.4111562967300415
23, 1.0 out of 5 stars, pathetic,1 star,0.8574475049972534
23, 4.0 out of 5 stars, good product,5 stars,0.6334669589996338
23, 5.0 out of 5 stars, value for money,5 stars,0.6624334454536438
24,5.0 out of 5 stars,i like it,4 stars,0.5247589945793152
24, 5.0 out of 5 stars, for regular use and economic,5 stars,0.587407112121582
24, 5.0 out of 5 stars, good,5 stars,0.5337613821029663
24, 5.0 out of 5 stars, comfortable,5 stars,0.7150459885597229
24, 1.0 out of 5 stars, rate,5 stars,0.3052932620048523
24, 1.0 out of 5 stars, its not long lasting,2 stars,0.43729567527770996
25,1.0 out of 5 stars,cheap price cheap quality didnt last  days,1 star,0.7206589579582214
25, 5.0 out of 5 stars, elegant and lightweight,5 stars,0.9181674122810364
25, 4.0 out of 5 stars, service is good so far,5 stars,0.5778746604919434
25, 4.0 out of 5 stars, fit,5 stars,0.7268644571304321
26,5.0 out of 5 stars,value for money,5 stars,0.6624334454536438
27,1.0 out of 5 stars,user review,5 stars,0.36620333790779114
27, 5.0 out of 5 stars, totally worthy product  i loved it,5 stars,0.9025580286979675
28,1.0 out of 5 stars,not satisfied,1 star,0.5931033492088318
28, 1.0 out of 5 stars, not worth the money,1 star,0.6153924465179443
28, 2.0 out of 5 stars,    ,5 stars,0.46193116903305054
28, 2.0 out of 5 stars, okay but hard sole,3 stars,0.8484153151512146
28, 1.0 out of 5 stars, pathetic shoe uncomfortable,1 star,0.8919185400009155
28, 1.0 out of 5 stars, uncomfortable cheap  forgettable,1 star,0.7373324632644653
28, 1.0 out of 5 stars, dont buy,1 star,0.7622948884963989
28, 2.0 out of 5 stars, its not comfortable,1 star,0.4913186728954315
28, 2.0 out of 5 stars, third class product dont buy waste of money,1 star,0.9126691818237305
28, 4.0 out of 5 stars, nice product,5 stars,0.6937230825424194
29,5.0 out of 5 stars,centrino is a brand you can trust,5 stars,0.7224270105361938
29, 3.0 out of 5 stars, im not disappointed,5 stars,0.5001497268676758
29, 3.0 out of 5 stars, ok ok,4 stars,0.4405730664730072
29, 1.0 out of 5 stars, very poor quality dont buy,1 star,0.9260733723640442
29, 1.0 out of 5 stars, replacement policy,5 stars,0.4902689754962921
29, 5.0 out of 5 stars, very nice pair of shoe,5 stars,0.8376353979110718
29, 4.0 out of 5 stars, centrino mens formal shoes,5 stars,0.5254079699516296
29, 5.0 out of 5 stars, great product at a budget price,5 stars,0.8925104737281799
29, 3.0 out of 5 stars, good looking shoes size is awkwardly long,4 stars,0.4474506974220276
29, 5.0 out of 5 stars, great one,5 stars,0.9217885136604309
30,5.0 out of 5 stars,great style shoes  must buy ,5 stars,0.9351301193237305
30, 5.0 out of 5 stars, best at ,5 stars,0.8490968346595764
30, 4.0 out of 5 stars, good one,5 stars,0.6470440030097961
30, 5.0 out of 5 stars, undoubtedly one of the best from sparx,5 stars,0.9142062067985535
30, 4.0 out of 5 stars, such a beauty,5 stars,0.9413697719573975
30, 5.0 out of 5 stars, quality product,5 stars,0.8478276133537292
30, 4.0 out of 5 stars, nice sneaker,5 stars,0.6356792449951172
30, 1.0 out of 5 stars, not satisfied,1 star,0.5931033492088318
30, 5.0 out of 5 stars, thank you amazon,5 stars,0.810039222240448
30, 5.0 out of 5 stars, best in this price,5 stars,0.8907819986343384
31,5.0 out of 5 stars,happy with the product,5 stars,0.7432337999343872
31, 5.0 out of 5 stars, mind blowing,5 stars,0.4960962235927582
31, 4.0 out of 5 stars, good,5 stars,0.5337613821029663
31, 5.0 out of 5 stars, must buy,5 stars,0.9319518804550171
31, 4.0 out of 5 stars, durable,5 stars,0.7914224863052368
31, 2.0 out of 5 stars, product r not original air,1 star,0.5332289338111877
31, 3.0 out of 5 stars, shoes reviews,5 stars,0.47600167989730835
31, 3.0 out of 5 stars, value for money,5 stars,0.6624334454536438
31, 4.0 out of 5 stars, light and strong,5 stars,0.8290979862213135
31, 2.0 out of 5 stars, good,5 stars,0.5337613821029663
32,5.0 out of 5 stars,comfy ,5 stars,0.6133618950843811
33,1.0 out of 5 stars,very bad,1 star,0.8895781636238098
33, 5.0 out of 5 stars, gd,5 stars,0.5175098180770874
33, 5.0 out of 5 stars, good shoes,5 stars,0.5862407684326172
33, 2.0 out of 5 stars, quality not as expected,3 stars,0.4006250500679016
33, 5.0 out of 5 stars, good product,5 stars,0.6334669589996338
33, 4.0 out of 5 stars, nice product,5 stars,0.6937230825424194
33, 2.0 out of 5 stars, quality not as expected,3 stars,0.4006250500679016
33, 3.0 out of 5 stars, okay but not value for money ,3 stars,0.8490399122238159
33, 4.0 out of 5 stars, this is,5 stars,0.7917701005935669
33, 1.0 out of 5 stars, bad quality,1 star,0.8210640549659729
34,3.0 out of 5 stars,average,3 stars,0.7622721195220947
34, 5.0 out of 5 stars, nice shoes good build quality,5 stars,0.7242826223373413
35,1.0 out of 5 stars,waste of money,1 star,0.8290979862213135
35, 4.0 out of 5 stars, product is so so,5 stars,0.7460058927536011
35, 5.0 out of 5 stars, comfortable and adorable,5 stars,0.890288770198822
35, 1.0 out of 5 stars, wrost quility,5 stars,0.5463950634002686
35, 3.0 out of 5 stars, average as per price finishing not good,3 stars,0.7264418601989746
35, 3.0 out of 5 stars, kraasa shoes for rough use,5 stars,0.4575701951980591
35, 5.0 out of 5 stars, superb,5 stars,0.941521167755127
35, 4.0 out of 5 stars, it could have been betteroverall good,3 stars,0.4648987948894501
35, 2.0 out of 5 stars, bad quality sole,1 star,0.7758534550666809
35, 1.0 out of 5 stars, sole quality  very bad  damaged in  months,1 star,0.7651172876358032
36,1.0 out of 5 stars,hardly  month lasts poor performance,1 star,0.7802779078483582
36, 4.0 out of 5 stars, awesome product,5 stars,0.944373369216919
36, 5.0 out of 5 stars, very good product as a price and size to fit or mattel quality also good,5 stars,0.8070154190063477
36, 3.0 out of 5 stars, can buy this item as per price,5 stars,0.8190125226974487
36, 5.0 out of 5 stars, awesome,5 stars,0.9403263330459595
36, 4.0 out of 5 stars, low price and good quality,5 stars,0.8596436381340027
36, 5.0 out of 5 stars, suppar,5 stars,0.5287787318229675
36, 3.0 out of 5 stars, good,5 stars,0.5337613821029663
36, 4.0 out of 5 stars, okh product,3 stars,0.5793464779853821
36, 5.0 out of 5 stars, honest review ,5 stars,0.7828144431114197
37,4.0 out of 5 stars,shoe quality,5 stars,0.7838960289955139
38,4.0 out of 5 stars,avg looking avg quality,5 stars,0.7541223168373108
38, 5.0 out of 5 stars, excellent,5 stars,0.9499454498291016
38, 4.0 out of 5 stars, quality product,5 stars,0.8478276133537292
38, 3.0 out of 5 stars, nice products,5 stars,0.6780269742012024
38, 1.0 out of 5 stars, quality of product is very bad if it possible i want to return it and return my money back,1 star,0.8715628981590271
38, 4.0 out of 5 stars, true reviews of these shows  should you buy it or not ,5 stars,0.5890966057777405
38, 3.0 out of 5 stars, good shoes with comfort support,5 stars,0.6233450174331665
38, 5.0 out of 5 stars, great product,5 stars,0.9308661222457886
38, 1.0 out of 5 stars, box is open,5 stars,0.5004379749298096
38, 5.0 out of 5 stars, good product  stylelure mens black formal shoes,5 stars,0.5844755172729492
39,4.0 out of 5 stars,good,5 stars,0.5337613821029663
39, 5.0 out of 5 stars, worth my money,5 stars,0.8367273211479187
39, 3.0 out of 5 stars, disappointed,1 star,0.53127521276474
39, 1.0 out of 5 stars, one star,1 star,0.9925036430358887
39, 4.0 out of 5 stars, good product,5 stars,0.6334669589996338
39, 1.0 out of 5 stars, very low quality,1 star,0.7864415049552917
39, 2.0 out of 5 stars, bad,1 star,0.7721864581108093
39, 1.0 out of 5 stars, too bad is the souel,1 star,0.3474949300289154
39, 1.0 out of 5 stars, wrong information provided by the seller,1 star,0.7448963522911072
39, 5.0 out of 5 stars, very comfy,5 stars,0.769633948802948
40,5.0 out of 5 stars,way more better than so called brand definately go for it,5 stars,0.838275671005249
40, 1.0 out of 5 stars, worst ever product,1 star,0.9367907643318176
40, 1.0 out of 5 stars, if you go for cheap then you will end with  money lost,1 star,0.5763172507286072
40, 5.0 out of 5 stars, shoes are really good and comfortable,5 stars,0.8456500768661499
40, 4.0 out of 5 stars, softness,5 stars,0.6464418172836304
40, 5.0 out of 5 stars, even in brands like nike puma,5 stars,0.8338347673416138
40, 1.0 out of 5 stars, quality is bad,1 star,0.5787201523780823
40, 3.0 out of 5 stars, very average product may be just okok at the price,3 stars,0.5598095059394836
40, 5.0 out of 5 stars, quality as per price,5 stars,0.7829678654670715
40, 5.0 out of 5 stars, comfortable and light weight shoes,5 stars,0.7678946852684021
41,4.0 out of 5 stars,worth the money order one size up,5 stars,0.774865448474884
41, 3.0 out of 5 stars, good,5 stars,0.5337613821029663
42,1.0 out of 5 stars,not at worth to buy,1 star,0.6332932114601135
42, 1.0 out of 5 stars, not as expected,2 stars,0.45118775963783264
42, 1.0 out of 5 stars, cheap quality,1 star,0.6473367810249329
42, 1.0 out of 5 stars, worse,1 star,0.7266035676002502
42, 4.0 out of 5 stars, wroth,5 stars,0.40830105543136597
42, 1.0 out of 5 stars, left foot  size didnt matched with the right foot,1 star,0.3964396119117737
42, 4.0 out of 5 stars, good product,5 stars,0.6334669589996338
42, 4.0 out of 5 stars, review of the product,5 stars,0.5074190497398376
42, 5.0 out of 5 stars, simple safe,5 stars,0.7729384303092957
42, 3.0 out of 5 stars, completely different colour and size,5 stars,0.6731531023979187
43,2.0 out of 5 stars,quality of the product is very low,1 star,0.6034116148948669
43, 1.0 out of 5 stars, vest of money,5 stars,0.6136176586151123
43, 1.0 out of 5 stars, unsatisfied,1 star,0.7639328241348267
43, 1.0 out of 5 stars, wastes of time and money so please improve your quality,1 star,0.7092369198799133
43, 1.0 out of 5 stars, there is spot,5 stars,0.31379836797714233
43, 1.0 out of 5 stars, shoes is not fit,1 star,0.6263161301612854
43, 1.0 out of 5 stars, bad product,1 star,0.8486456871032715
43, 1.0 out of 5 stars, it is very bad,1 star,0.8188284635543823
43, 1.0 out of 5 stars, plz give the better quality i want chang this shose,5 stars,0.7506309151649475
43, 1.0 out of 5 stars, change the size,5 stars,0.5898521542549133
44,4.0 out of 5 stars,size issue and tight when used with socks,3 stars,0.3556671142578125
44, 5.0 out of 5 stars, amazing for its price,5 stars,0.9190912246704102
44, 4.0 out of 5 stars, good go for it,5 stars,0.49916598200798035
44, 1.0 out of 5 stars, not even ,1 star,0.7558351755142212
44, 5.0 out of 5 stars, great comfortable office shoe,5 stars,0.8721796274185181
44, 4.0 out of 5 stars, fraud seller,1 star,0.7945600748062134
44, 5.0 out of 5 stars, good rubber shoes to use in rain,5 stars,0.5653382539749146
44, 5.0 out of 5 stars, excellent at this price range,5 stars,0.9424046874046326
44, 4.0 out of 5 stars, excellent product,5 stars,0.9539818167686462
44, 5.0 out of 5 stars, wonderful and excellent shoes ,5 stars,0.9610218405723572
45,4.0 out of 5 stars,good for smooth users and not gud for rough users,4 stars,0.5507926940917969
45, 5.0 out of 5 stars, outstanding products,5 stars,0.9567028880119324
45, 4.0 out of 5 stars, nice shoes,5 stars,0.6508151292800903
45, 5.0 out of 5 stars, ,5 stars,0.46193116903305054
45, 4.0 out of 5 stars, value for money,5 stars,0.6624334454536438
45, 4.0 out of 5 stars, nice,5 stars,0.6637264490127563
45, 2.0 out of 5 stars, not good,1 star,0.6892451643943787
45, 2.0 out of 5 stars, sole,5 stars,0.5760632753372192
45, 1.0 out of 5 stars, waste product,1 star,0.7301802635192871
45, 2.0 out of 5 stars, do not buy weastage of money,1 star,0.8814094066619873
46,5.0 out of 5 stars,beautiful shoes ,5 stars,0.8789497017860413
46, 4.0 out of 5 stars, very good product but logo has comeout within  months,4 stars,0.6319113969802856
46, 4.0 out of 5 stars, worth for the money spent,5 stars,0.660712480545044
46, 5.0 out of 5 stars, best quality as expected from bata,5 stars,0.9385398030281067
46, 5.0 out of 5 stars, shoe for walkers,5 stars,0.5711622834205627
46, 5.0 out of 5 stars, fit,5 stars,0.7268644571304321
46, 3.0 out of 5 stars, size is good,5 stars,0.4904469847679138
46, 1.0 out of 5 stars, cushion is very very poor uncomfortable,1 star,0.8084794282913208
46, 1.0 out of 5 stars, price,5 stars,0.5656523704528809
46, 1.0 out of 5 stars, very much disappointed ,1 star,0.6007182598114014
47,5.0 out of 5 stars,very good product,5 stars,0.8575654029846191
47, 5.0 out of 5 stars, good,5 stars,0.5337613821029663
47, 5.0 out of 5 stars, value for money,5 stars,0.6624334454536438
47, 3.0 out of 5 stars, okay product with a fundamental flaw ,3 stars,0.8674834966659546
47, 3.0 out of 5 stars, economical shoes for walking gym not running or jumpingrecommended,5 stars,0.6181667447090149
47, 1.0 out of 5 stars, dont trust the size of what they write on their page,5 stars,0.2845555543899536
47, 2.0 out of 5 stars, not worth for money,1 star,0.6042628884315491
47, 3.0 out of 5 stars, okay product but runs small for size,3 stars,0.8516347408294678
47, 1.0 out of 5 stars, for improvement in size and quality,5 stars,0.680122435092926
47, 4.0 out of 5 stars, its good,5 stars,0.4763038456439972
48,3.0 out of 5 stars,got a different brand,5 stars,0.5138499736785889
48, 1.0 out of 5 stars, pls give me my order,5 stars,0.6559739708900452
48, 5.0 out of 5 stars, value for money ,5 stars,0.6624334454536438
48, 5.0 out of 5 stars, amazon should change name of product from sparx to relaxo,1 star,0.4811875522136688
48, 5.0 out of 5 stars, go for it,5 stars,0.6479388475418091
48, 5.0 out of 5 stars, wear them without caring about world but your feet,5 stars,0.4555862843990326
48, 4.0 out of 5 stars, great and compatible shoes must buy,5 stars,0.9329748153686523
48, 5.0 out of 5 stars, nice ,5 stars,0.6637264490127563
48, 1.0 out of 5 stars, different brand delivered but value for money,5 stars,0.41800403594970703
48, 5.0 out of 5 stars, good product thanks amazon ,5 stars,0.7189942002296448
